[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,15564
Overall Drift (nm/s),1568.68
X-Drift (nm/s),-1107.36
Y-Drift (nm/s),1111.08
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),280.00
Mean (E4 nm^2/s),733.28
Standard Deviation (E4 nm^2/s),457.79

User Line 1,205
User Line 2,588
Average # centres/frame,220.79
Average # particles/frame,161.46
Equivalent particle concentration (E8 particles/ml),25.10
Selected average # particles/frame,70.57
Selected equivalent particle concentration (E8 particles/ml),10.97

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,300
Frame rate (fps),30.00
Temperature (°C),23.90
Viscosity (cP),0.911

[Warnings]
Low Completed Tracks,No
High Noise,8 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
676,1.7275,,
677,1.7252,,
678,1.7229,,
679,1.7207,,
680,1.7184,,
681,1.7161,,
682,1.7138,,
683,1.7114,,
684,1.7091,,
685,1.7068,,
686,1.7045,,
687,1.7021,,
688,1.6997,,
689,1.6974,,
690,1.6950,,
691,1.6927,,
692,1.6903,,
693,1.6879,,
694,1.6855,,
695,1.6831,,
696,1.6808,,
697,1.6784,,
698,1.6760,,
699,1.6736,,
700,1.6712,,
701,1.6688,,
702,1.6664,,
703,1.6640,,
704,1.6617,,
705,1.6593,,
706,1.6569,,
707,1.6545,,
708,1.6522,,
709,1.6498,,
710,1.6475,,
711,1.6451,,
712,1.6428,,
713,1.6405,,
714,1.6382,,
715,1.6359,,
716,1.6336,,
717,1.6313,,
718,1.6291,,
719,1.6268,,
720,1.6246,,
721,1.6223,,
722,1.6201,,
723,1.6179,,
724,1.6158,,
725,1.6136,,
726,1.6115,,
727,1.6093,,
728,1.6072,,
729,1.6051,,
730,1.6030,,
731,1.6010,,
732,1.5989,,
733,1.5969,,
734,1.5949,,
735,1.5929,,
736,1.5909,,
737,1.5890,,
738,1.5870,,
739,1.5851,,
740,1.5832,,
741,1.5814,,
742,1.5795,,
743,1.5777,,
744,1.5759,,
745,1.5741,,
746,1.5723,,
747,1.5706,,
748,1.5689,,
749,1.5672,,
750,1.5655,,
751,1.5638,,
752,1.5622,,
753,1.5606,,
754,1.5590,,
755,1.5574,,
756,1.5558,,
757,1.5543,,
758,1.5527,,
759,1.5512,,
760,1.5498,,
761,1.5483,,
762,1.5469,,
763,1.5454,,
764,1.5440,,
765,1.5427,,
766,1.5413,,
767,1.5400,,
768,1.5386,,
769,1.5373,,
770,1.5360,,
771,1.5348,,
772,1.5335,,
773,1.5323,,
774,1.5311,,
775,1.5299,,
776,1.5287,,
777,1.5276,,
778,1.5264,,
779,1.5253,,
780,1.5242,,
781,1.5231,,
782,1.5220,,
783,1.5209,,
784,1.5199,,
785,1.5189,,
786,1.5179,,
787,1.5168,,
788,1.5159,,
789,1.5149,,
790,1.5139,,
791,1.5130,,
792,1.5120,,
793,1.5111,,
794,1.5102,,
795,1.5093,,
796,1.5084,,
797,1.5075,,
798,1.5067,,
799,1.5058,,
800,1.5049,,
801,1.5041,,
802,1.5033,,
803,1.5025,,
804,1.5016,,
805,1.5008,,
806,1.5000,,
807,1.4992,,
808,1.4985,,
809,1.4977,,
810,1.4969,,
811,1.4961,,
812,1.4954,,
813,1.4946,,
814,1.4938,,
815,1.4931,,
816,1.4923,,
817,1.4916,,
818,1.4908,,
819,1.4901,,
820,1.4893,,
821,1.4886,,
822,1.4878,,
823,1.4871,,
824,1.4863,,
825,1.4855,,
826,1.4848,,
827,1.4840,,
828,1.4832,,
829,1.4825,,
830,1.4817,,
831,1.4809,,
832,1.4801,,
833,1.4793,,
834,1.4785,,
835,1.4777,,
836,1.4769,,
837,1.4761,,
838,1.4752,,
839,1.4744,,
840,1.4735,,
841,1.4727,,
842,1.4718,,
843,1.4709,,
844,1.4700,,
845,1.4691,,
846,1.4681,,
847,1.4672,,
848,1.4663,,
849,1.4653,,
850,1.4643,,
851,1.4633,,
852,1.4623,,
853,1.4613,,
854,1.4602,,
855,1.4592,,
856,1.4581,,
857,1.4570,,
858,1.4559,,
859,1.4548,,
860,1.4536,,
861,1.4525,,
862,1.4513,,
863,1.4501,,
864,1.4489,,
865,1.4476,,
866,1.4464,,
867,1.4451,,
868,1.4438,,
869,1.4425,,
870,1.4412,,
871,1.4398,,
872,1.4384,,
873,1.4370,,
874,1.4356,,
875,1.4342,,
876,1.4327,,
877,1.4312,,
878,1.4297,,
879,1.4282,,
880,1.4266,,
881,1.4251,,
882,1.4235,,
883,1.4219,,
884,1.4202,,
885,1.4186,,
886,1.4169,,
887,1.4152,,
888,1.4135,,
889,1.4117,,
890,1.4100,,
891,1.4082,,
892,1.4064,,
893,1.4046,,
894,1.4027,,
895,1.4009,,
896,1.3990,,
897,1.3971,,
898,1.3952,,
899,1.3933,,
900,1.3913,,
901,1.3893,,
902,1.3873,,
903,1.3853,,
904,1.3833,,
905,1.3812,,
906,1.3792,,
907,1.3771,,
908,1.3750,,
909,1.3729,,
910,1.3708,,
911,1.3686,,
912,1.3665,,
913,1.3643,,
914,1.3621,,
915,1.3599,,
916,1.3577,,
917,1.3555,,
918,1.3532,,
919,1.3510,,
920,1.3487,,
921,1.3464,,
922,1.3442,,
923,1.3419,,
924,1.3396,,
925,1.3372,,
926,1.3349,,
927,1.3326,,
928,1.3303,,
929,1.3279,,
930,1.3256,,
931,1.3232,,
932,1.3209,,
933,1.3185,,
934,1.3161,,
935,1.3138,,
936,1.3114,,
937,1.3090,,
938,1.3066,,
939,1.3043,,
940,1.3019,,
941,1.2995,,
942,1.2971,,
943,1.2947,,
944,1.2924,,
945,1.2900,,
946,1.2876,,
947,1.2853,,
948,1.2829,,
949,1.2805,,
950,1.2782,,
951,1.2758,,
952,1.2735,,
953,1.2711,,
954,1.2688,,
955,1.2665,,
956,1.2641,,
957,1.2618,,
958,1.2595,,
959,1.2572,,
960,1.2549,,
961,1.2527,,
962,1.2504,,
963,1.2482,,
964,1.2459,,
965,1.2437,,
966,1.2415,,
967,1.2393,,
968,1.2371,,
969,1.2349,,
970,1.2327,,
971,1.2306,,
972,1.2284,,
973,1.2263,,
974,1.2242,,
975,1.2221,,
